1	6503
2	2747
3	1494
4	1027
5	819
6	637
7	441
8	405
9	313
10	279
11	246
12	221
13	190
14	150
15	145
16	121
17	119
18	121
19	96
20	103
21	101
22	102
23	75
24	67
25	72
26	67
27	61
28	46
29	42
30	58
31	46
32	46
33	41
34	40
35	42
36	42
37	41
38	31
39	39
40	36
41	33
42	27
43	31
44	19
45	27
46	26
47	28
48	34
49	17
50	30
51	18
52	24
53	21
54	22
55	17
56	21
57	18
58	20
59	17
60	17
61	14
62	17
63	10
64	16
65	10
66	16
67	15
68	9
69	9
70	15
71	18
72	19
73	13
74	7
75	12
76	9
77	11
78	7
79	4
80	8
81	14
82	7
83	13
84	11
85	7
86	9
87	12
88	10
89	8
90	5
91	9
92	15
93	16
94	4
95	5
96	9
97	15
98	7
99	10
100	17
101	5
102	10
103	8
104	5
105	4
106	5
107	10
108	3
109	5
110	11
111	6
112	11
113	2
114	6
115	7
116	8
117	5
118	10
119	5
120	6
121	7
122	6
123	9
124	5
125	6
126	4
127	5
128	6
129	5
130	6
131	6
132	9
133	5
134	5
135	4
136	7
137	7
138	3
139	4
140	4
141	7
142	2
143	3
144	4
145	3
146	5
147	6
148	3
149	8
150	3
151	3
152	3
153	5
154	7
155	3
156	4
158	3
159	1
160	1
161	5
162	6
163	2
164	2
165	5
166	2
167	5
168	5
169	4
170	3
171	5
172	3
173	3
174	4
175	5
176	3
177	1
178	2
179	1
180	2
181	3
182	2
183	5
184	1
185	2
186	2
187	1
188	2
190	4
191	3
192	1
193	3
194	4
195	3
196	1
197	1
198	6
199	2
200	6
201	2
202	3
203	2
204	5
205	4
206	4
207	5
208	4
209	3
210	1
211	2
212	3
213	1
214	1
215	3
216	6
217	3
218	2
219	2
220	3
221	3
222	1
223	5
224	2
225	3
226	3
227	2
228	3
229	2
230	1
231	1
232	4
234	5
235	4
236	2
237	2
238	5
239	1
240	1
241	1
242	1
244	2
245	2
246	2
247	3
248	2
249	1
250	1
251	3
252	2
254	3
255	1
256	2
257	1
258	1
259	1
260	1
264	1
265	1
266	3
267	1
268	1
269	4
270	2
271	1
273	1
274	1
275	1
276	4
277	1
278	1
279	1
280	2
281	3
282	3
283	3
285	1
286	4
287	1
288	4
289	3
290	1
291	3
294	1
295	2
296	1
297	2
299	1
300	1
305	2
306	3
307	2
308	1
310	1
312	1
317	1
318	3
319	2
320	1
321	1
324	2
326	1
327	1
328	1
329	1
331	1
332	3
333	2
334	1
335	2
336	1
337	1
338	1
341	1
343	1
345	1
347	1
350	2
354	1
356	1
357	1
359	1
362	1
363	1
364	1
366	1
367	1
370	2
371	2
372	1
373	1
376	2
377	1
380	1
381	2
384	1
386	1
387	2
389	1
391	1
394	1
396	1
397	1
398	1
401	2
403	1
404	1
405	1
409	1
410	1
411	1
412	2
416	1
417	2
418	1
419	1
421	2
422	2
429	1
430	1
431	1
432	1
433	1
438	1
440	2
441	2
444	2
445	1
447	1
455	1
458	1
466	1
467	1
469	1
470	1
471	1
476	1
477	3
479	1
483	1
485	1
486	1
487	1
489	2
496	1
504	1
511	1
512	1
513	1
514	2
515	1
519	2
520	1
532	2
537	1
538	2
543	1
544	1
545	1
561	1
564	1
565	2
567	1
568	1
574	1
578	1
583	1
586	1
592	1
595	1
600	1
605	1
607	1
609	1
610	1
612	1
613	1
620	1
625	1
630	1
632	1
633	2
638	1
645	1
652	1
654	2
660	1
661	1
662	1
663	1
666	1
677	1
685	1
686	1
692	1
694	1
705	1
706	1
708	1
710	1
721	1
724	1
727	1
738	2
743	1
747	1
753	2
770	1
774	1
776	1
781	1
818	1
823	1
848	1
851	1
863	1
874	1
880	1
889	1
896	1
900	1
904	1
921	1
924	1
926	1
944	1
956	1
957	1
969	1
970	1
1023	1
1029	1
1042	1
1051	1
1055	1
1151	1
1155	1
1166	1
1168	1
1198	1
1199	2
1209	1
1234	1
1241	1
1266	1
1271	1
1282	1
1283	1
1335	1
1348	1
1352	1
1367	1
1459	1
1466	1
1559	1
1563	1
1579	1
1632	1
1646	2
1677	1
1735	1
1739	1
1832	1
1856	1
1921	1
1992	1
1993	1
2181	1
2341	1
2348	1
2375	1
2417	1
2531	1
2700	1
2771	1
3003	1
3455	1
3499	1
3520	1
3642	1
3916	1
4218	1
4624	1
5668	1
5932	1
6089	1
6443	1
6929	1
9745	1
13965	1
14555	1
15649	1
16466	1
19578	1
23150	1
40782	1
110671	1

1	2
3	4
5	6
